Week,Weekly_Interest
1/1/2017,88
1/8/2017,96
1/15/2017,95
1/22/2017,96
1/29/2017,99
2/5/2017,95
2/12/2017,93
2/19/2017,91
2/26/2017,90
3/5/2017,93
3/12/2017,91
3/19/2017,97
3/26/2017,99
4/2/2017,91
4/9/2017,92
4/16/2017,94
4/23/2017,89
4/30/2017,92
5/7/2017,94
5/14/2017,90
5/21/2017,88
5/28/2017,84
6/4/2017,97
6/11/2017,86
6/18/2017,96
6/25/2017,92
7/2/2017,87
7/9/2017,100
7/16/2017,91
7/23/2017,96
7/30/2017,96
8/6/2017,95
8/13/2017,93
8/20/2017,86
8/27/2017,89
9/3/2017,80
9/10/2017,87
9/17/2017,91
9/24/2017,92
10/1/2017,90
10/8/2017,90
10/15/2017,93
10/22/2017,96
10/29/2017,92
11/5/2017,100
11/12/2017,94
11/19/2017,73
11/26/2017,93
12/3/2017,97
12/10/2017,91
12/17/2017,82
12/24/2017,72
12/31/2017,84
1/7/2018,94
1/14/2018,91
1/21/2018,96
1/28/2018,91
2/4/2018,91
2/11/2018,92
2/18/2018,92
2/25/2018,97
3/4/2018,95
3/11/2018,86
3/18/2018,92
3/25/2018,92
4/1/2018,100
4/8/2018,95
4/15/2018,95
4/22/2018,92
4/29/2018,93
5/6/2018,92
5/13/2018,94
5/20/2018,94
5/27/2018,86
6/3/2018,90
6/10/2018,93
6/17/2018,93
6/24/2018,99
7/1/2018,85
7/8/2018,92
7/15/2018,98
7/22/2018,95
7/29/2018,94
8/5/2018,95
8/12/2018,94
8/19/2018,92
8/26/2018,90
9/2/2018,89
9/9/2018,83
9/16/2018,95
9/23/2018,91
9/30/2018,92
10/7/2018,89
10/14/2018,93
10/21/2018,94
10/28/2018,93
11/4/2018,89
11/11/2018,87
11/18/2018,71
11/25/2018,93
12/2/2018,93
12/9/2018,85
12/16/2018,83
12/23/2018,72
12/30/2018,85
1/6/2019,93
1/13/2019,92
1/20/2019,100
1/27/2019,93
2/3/2019,93
2/10/2019,86
2/17/2019,88
2/24/2019,86
3/3/2019,88
3/10/2019,91
3/17/2019,88
3/24/2019,87
3/31/2019,97
4/7/2019,97
4/14/2019,89
4/21/2019,86
4/28/2019,92
5/5/2019,89
5/12/2019,91
5/19/2019,84
5/26/2019,77
6/2/2019,89
6/9/2019,85
6/16/2019,91
6/23/2019,85
6/30/2019,74
7/7/2019,88
7/14/2019,88
7/21/2019,91
7/28/2019,88
8/4/2019,83
8/11/2019,84
8/18/2019,83
8/25/2019,82
9/1/2019,74
9/8/2019,86
9/15/2019,83
9/22/2019,85
9/29/2019,85
10/6/2019,84
10/13/2019,81
10/20/2019,84
10/27/2019,80
11/3/2019,87
11/10/2019,86
11/17/2019,88
11/24/2019,70
12/1/2019,83
12/8/2019,82
12/15/2019,74
12/22/2019,66
12/29/2019,70
1/5/2020,100
1/12/2020,92
1/19/2020,98
1/26/2020,91
2/2/2020,92
2/9/2020,91
2/16/2020,94
2/23/2020,91
3/1/2020,87
3/8/2020,82
3/15/2020,64
3/22/2020,60
3/29/2020,68
4/5/2020,62
4/12/2020,62
4/19/2020,69
4/26/2020,73
5/3/2020,72
5/10/2020,78
5/17/2020,77
5/24/2020,71
5/31/2020,80
6/7/2020,85
6/14/2020,86
6/21/2020,86
6/28/2020,80
7/5/2020,88
7/12/2020,86
7/19/2020,86
7/26/2020,84
8/2/2020,87
8/9/2020,84
8/16/2020,86
8/23/2020,83
8/30/2020,83
9/6/2020,80
9/13/2020,85
9/20/2020,88
9/27/2020,85
10/4/2020,91
10/11/2020,88
10/18/2020,91
10/25/2020,84
11/1/2020,74
11/8/2020,86
11/15/2020,90
11/22/2020,74
11/29/2020,84
12/6/2020,90
12/13/2020,85
12/20/2020,67
12/27/2020,76
